context,description,mentioned_groups
B27,工作或保存木材或類似材料；一般而言,B27; B23; B29; A01; F26; F16; B44; B24; B25; D21; B28; E04; B05
B28,工作水泥，粘土或石頭,B22; B29; B32; B28
B29,塑料的工作；通常，在塑料狀態下的物質工作,B29; B32
B30,按下,B01; B65
B31,製作紙，紙板或材料的作品，以類似於紙的方式工作；工作紙，紙板或材料以類似於紙的方式工作,D21; B27; B31; B32; B65
B32,分層產品,
B33,增材製造技術,
B41,印刷;襯裡機器；打字機；郵票,G01; B43; H01; B44; G06; D06; C25; G03; B41; H03; B23; C23; B65; A22; H04; B26; C09; G07
B42,書本;專輯；文件；特殊印刷物,B31; B44; B25; B26; B27; A47; B42
B43,寫作或繪圖工具；局配件,A45; G09; B25; B42
B44,裝飾藝術,C14; G09; B29; B44; B31; B41; B05
B60,一般而言,B62; B60; E05; E01; A61; B61; F16; B21; H02
B61,鐵路,B60; E01; G02; G05; B61; F16; H04; H02; B66
B62,陸地車輛以外的軌道旅行,G01; F16; B62; B60; A01
B63,船隻或其他水上船；相關設備,E02; F41; B60; B63; F42
B64,飛機;航空;宇宙學,B60; E21
B65,傳送；包裝;存儲；處理薄或絲狀材料,G09; B67; B07; B25; B41; F17; A24; B62; B03; E03; C05; B27; C10; B65; A61; B02; F23; E04; B66
B66,提升；舉重；拖運,E06; G21; B65; A61; B61; E02; F41; E21; B63; A63; E04; B66
B67,開口，關閉瓶子，罐子或類似的容器；液體處理,G01; F24; E03; B67; B65; B08; F17; G07
B68,馬鞍；內飾,
B81,微觀結構技術,H01; B01
B82,納米技術,
B99,本節中沒有其他規定的主題,
C01,無機化學,C01
C02,處理水，廢水，污水或污泥,B63; C23; G21; B01
C03,玻璃;礦物或礦渣羊毛,
C04,水泥；具體的;人造石陶瓷;折磨,C03; E04
C05,肥料；製造其,A01; C05
C06,炸藥；火柴,C01; C10; C07; C08; C04; F42
C07,有機化學,C13; G01; C12; C07; C08; A61; A23; C09
C08,有機大分子化合物；他們的準備或化學工作；基於作品,C13; C10; D01; C12; C07; B29; C08; D06; D21; C09
C09,染料；油漆；拋光劑；天然樹脂；粘合劑；作品沒有其他規定；材料的申請其他不提供,C01; C12; B27; A61; C25; C03; C04; C09; B05
C10,石油，天然氣或可樂行業；含有一氧化碳的技術氣體；燃料；潤滑劑；泥炭,C01; G02; D01; A21; C08; C11; C06; B22; F16; H01; C03; C10; C07; B29; C23; G21; A61; E21; B21; C09
C11,動物或植物油，脂肪，脂肪物質或蠟；脂肪酸從那裡；洗滌劑；蠟燭,B01; C09; A61
C12,生物化學；啤酒;精神葡萄酒;尖酸刻薄;微生物學;酶學；突變或基因工程,C01; G01; A21; A23; C12; C07; B08
C13,製糖業,C13; C12; C07; C08
C14,皮膚；皮革；毛皮；皮革,B29; B68; D06
C21,鐵的冶金,C22; C23; H05; C30
C22,冶金;亞鐵或非有產合金；合金或非有產金屬的處理,C23; C22; C25; C21; C06
C23,塗層金屬材料；帶有金屬材料的塗料材料；化學表面處理；金屬材料的擴散處理；一般而言，通過真空蒸發，濺射，離子植入或化學蒸氣沉積塗層；抑制金屬材料的腐蝕或通常,B23; C21; C23; C11; C22; D06; B21; B44; C25; C03; C04; C09; C30
C25,電解或電泳過程；因此,C23; C30
C30,晶體生長,B22; H01; C22; B01; B29; C21
C40,組合技術,G16
C99,本節中沒有其他規定的主題,
D01,天然或人造線或纖維；旋轉,D02; B03; D01; D21; B65
D02,紗紗線或繩索的機械裝飾；翹曲或光線,D02; D06; D07
D03,編織,
D04,編織；花邊製作;針織;修剪；非織物織物,D05; B27; A01; B65; A42; D02; B44; B21; D04; D06; A43; D03; B32
D05,縫紉;繡花；tufting,D05; A47; D04; A41; B42
D06,處理紡織品之類的；洗錢柔性材料其他不提供,D05; D06; D01; B31
D07,繩索；電纜以外的電纜,D02; F16; H01; E01; D04; A63; B65
D10,與紡織品有關的Sublasses相關的索引方案,
D21,造紙;纖維素的產生,B31; B65; D21; B27
D99,本節中沒有其他規定的主題,
E01,道路，鐵路或橋樑的建設,B64; B61; E01; B08
E02,液壓工程；基礎；土壤轉移,E02; E21
E03,供水；下水道,E03; A47; E21; F17
E04,建造,F16; E02; E21; E01; E04; H05; E06
E05,鎖；鑰匙；窗戶或門配件；保險箱,A45; F16; G08; B62; E05; E04
E06,門，窗戶，百葉窗或滾子百葉窗通常；梯子,B62; A01; B64; A47; B63; E04
E21,地球鑽探；礦業,E21; C09
E99,本節中沒有其他規定的主題,
F01,機器或發動機一般；發動機植物一般；蒸汽機,F24; B60; F04; B08; F16; B25; B63; G10; F01; F28; G21; F03; B64; F02; F23; F41; C09
F02,燃燒引擎；熱天氣或燃燒產品發動機植物,G01; F01; B60; F04; G05; F02; F23; H01; G06; F25
F03,機器或液體發動機；風，彈簧或重量電動機；產生機械能力或反應性推力推力，另外未提供,F01; B60; F15; F04; F03; F16; F02
F04,液體的陽性 - 位移機；液體或彈性流體的泵,F02; H01; F04; H02; B65; F03
F05,索引方案與類別的各個子類F01-F04中的引擎或泵有關的方案,F04; F01; F03
F15,液壓執行器；一般而言,F15; C10; G05; F16; E02; G06; B63; C09; B05
F16,工程元素和單位；生產和維護機器或裝置有效運行的一般措施；通常隔熱材料,F16
F17,存儲或分發氣體或液體,G01; A62; F15; F04; G05; B65; F16; F23; G08; A47; B01; E04; F25; H01; F17
F21,燈光,F21
F22,蒸汽生成,F01; F24; F22; F28; G21
F23,燃燒設備；燃燒過程,A24; F23; F24; F02; C06; C11
F24,加熱;範圍；通風,F01; F24; F23; F22; E04; F03; B08
F25,製冷或冷卻；聯合加熱和製冷系統；熱泵系統；製造或儲存冰；氣體的液化固化,F24; B60; C09; F04; B65; G12; B64; A47; F25; F17
F26,烘乾,A45; F27; A01; B04; H01; B01; D06; A23; A47; C04
F27,爐；窯；烤箱；反駁,F23
F28,一般熱交交換,F01; F24; F22; F27; F28; B08; F16; F23; B01; F25
F41,武器,F41; G02; B26; A63; A01; F42
F42,彈藥;爆破,E21; C06; F42
F99,本節中沒有其他規定的主題,
G01,測量;測試,H03; G01; B60; E01; C12; A01; A61; B07; F21; G08; H01; B61; A63; H05
G02,光學,A61
G03,攝影;攝影；使用光波以外的波的類似技術；電圖；全息圖,G02; H04; G06; G03; B41; G11
G04,鐘錶,H03; G01; H01; G04; F42; F03
G05,控制；調節,H03; G01; F15; G04; G05; G12; F16; H01; B22; H04; G06; H02; H05
G06,計算；計算；數數,H03; G01; G02; G07; G05; H04; G06; A63; B41; G11
G07,檢查設備,G06; G07
G08,信號,G01; B61; F15; E01; G05
G09,教育;密碼學；展示;廣告;密封,G01; G02; G09; G04; F21; G08; H01; G06; G03; H05; H03; A61; H04; A63; B42
G10,樂器；聲學,H03; G10; A47; G09; G04; A63; G11
G11,信息存儲,G01; H01; H04; G06
G12,儀器詳細信息,
G16,信息和通信技術專門針對特定的應用程序字段,
G21,核物理學；核工程,B64; G01; H01; G06; G21; A61; H05
G99,本節中沒有其他規定的主題,
H01,基本電元素,H03; G01; G02; C04; H01; C22; H04; H02; H05
H02,一代;電力的轉換或分配,H03; G01; H01; G08; H04; H02; G21
H03,基本電子電路,H03; G01; G10; G02; F15; G09; G05; G08; H01; H04; G06; G11; H02; H05
H04,電通通信技術,G01; G10; G04; B06; G08; H01; H04; H02; G11
H05,電力技術沒有其他規定,H03; G01; G04; A01; G21; A61; A22; H01; H04; G03; H02; H05
H99,本節中沒有其他規定的主題,
Y02,緩解或適應氣候變化的技術或應用,
Y04,信息或通信技術對其他技術領域有影響,
Y10,前USPC涵蓋的技術主題,
